trade_num,entry_time,exit_time,direction,entry_price,exit_price,position_usd,pnl,win,exit_reason,bars_held,session
7942,2023-10-25 07:25:00,2023-10-25 07:40:00,LONG,33881.18,33818.73,1800,-1.44,False,SL,3,London open
7943,2023-10-25 07:40:00,2023-10-25 08:15:00,LONG,33818.73,33885.67,1800,3.56,True,TIME,7,London open
7944,2023-10-26 08:25:00,2023-10-26 08:45:00,LONG,34499.01,34599.99,1800,4.5,True,TP,4,London open
7945,2023-10-26 08:55:00,2023-10-26 09:10:00,LONG,34520.85,34486.89,1800,-1.44,False,SL,3,London open
7946,2023-10-26 09:10:00,2023-10-26 09:15:00,LONG,34486.89,34440.0,1800,-1.44,False,SL,1,London open
7947,2023-10-26 09:15:00,2023-10-26 09:25:00,LONG,34440.0,34410.01,1800,-1.44,False,SL,2,London open
7948,2023-10-26 09:25:00,2023-10-26 10:00:00,LONG,34410.01,34370.01,1800,-1.44,False,SL,7,out of session
7949,2023-10-26 14:35:00,2023-10-26 14:40:00,LONG,33941.26,34086.04,1800,4.5,True,TP,1,NY open
7950,2023-10-26 15:15:00,2023-10-26 15:30:00,LONG,33914.01,34012.43,1800,4.5,True,TP,3,NY open
7951,2023-10-27 07:45:00,2023-10-27 07:50:00,LONG,34033.01,33954.36,1800,-1.44,False,SL,1,London open
7952,2023-10-27 07:50:00,2023-10-27 08:25:00,LONG,33954.36,34001.21,1800,2.48,True,TIME,7,London open
7953,2023-10-27 14:10:00,2023-10-27 14:15:00,LONG,34026.61,33994.21,1800,-1.44,False,SL,1,NY open
7954,2023-10-27 14:15:00,2023-10-27 14:20:00,LONG,33994.21,33950.42,1800,-1.44,False,SL,1,NY open
7955,2023-10-27 14:20:00,2023-10-27 14:30:00,LONG,33950.42,33907.99,1800,-1.44,False,SL,2,NY open
7956,2023-10-27 14:30:00,2023-10-27 15:00:00,LONG,33907.99,33866.01,1800,-1.44,False,SL,6,NY open
7957,2023-10-27 15:00:00,2023-10-27 15:30:00,LONG,33866.01,33993.25,1800,4.5,True,TP,6,NY open
7958,2023-10-28 07:05:00,2023-10-28 07:40:00,LONG,34050.61,34076.57,1800,1.37,True,TIME,7,London open
7959,2023-10-29 16:15:00,2023-10-29 16:50:00,LONG,34399.75,34385.92,1800,-0.72,False,TIME,7,out of session
7960,2023-10-30 07:30:00,2023-10-30 08:05:00,LONG,34203.13,34236.93,1800,1.78,True,TIME,7,London open
7961,2023-10-30 14:40:00,2023-10-30 15:00:00,LONG,34556.01,34687.44,1800,4.5,True,TP,4,NY open
7962,2023-10-30 16:15:00,2023-10-30 16:25:00,LONG,34554.81,34495.37,1800,-1.44,False,SL,2,NY open
7963,2023-10-30 16:25:00,2023-10-30 16:40:00,LONG,34495.37,34391.6,1800,-1.44,False,SL,3,out of session
7964,2023-10-31 07:20:00,2023-10-31 07:30:00,LONG,34197.08,34102.92,1800,-1.44,False,SL,2,London open
7965,2023-10-31 07:30:00,2023-10-31 08:05:00,LONG,34102.92,34139.1,1800,1.91,True,TIME,7,London open
7966,2023-10-31 13:35:00,2023-10-31 13:50:00,LONG,34231.99,34185.13,1800,-1.44,False,SL,3,NY open
7967,2023-10-31 13:50:00,2023-10-31 14:10:00,LONG,34185.13,34303.36,1800,4.5,True,TP,4,NY open
7968,2023-10-31 14:35:00,2023-10-31 14:40:00,LONG,34186.89,34290.0,1800,4.5,True,TP,1,NY open
7969,2023-11-01 14:45:00,2023-11-01 14:50:00,LONG,34342.0,34236.37,1800,-1.44,False,SL,1,NY open
7970,2023-11-01 14:50:00,2023-11-01 14:55:00,LONG,34236.37,34183.96,1800,-1.44,False,SL,1,NY open
7971,2023-11-01 14:55:00,2023-11-01 15:05:00,LONG,34183.96,34280.01,1800,4.5,True,TP,2,NY open
7972,2023-11-01 15:05:00,2023-11-01 15:10:00,LONG,34280.01,34247.6,1800,-1.44,False,SL,1,NY open
