date,entry,exit_price,pnl,win,bars_held,stop_hit,tp_hit,score,rsi,bb_pct,bb_width,vwap_dist,vol_spike,mom3,atr_pct,hour,weekday,above_ema50,above_ema200,ema50_gt_200,fresh_cross,below_vwap
2023-12-05 20:35,43628.9,43747.93,0.2728,True,3,False,True,2.0,33.22,0.283,0.0103,-0.00174,0.67,0.00168,0.00315,20,1,1,1,1,0,1
2023-12-06 07:30,43507.04,43638.37,0.3019,True,1,False,True,2.0,52.84,0.173,0.0071,-0.00201,0.94,-0.00095,0.002,7,2,0,1,1,0,1
2023-12-06 11:10,43772.5,43560.87,-0.4835,False,1,True,False,2.5,40.08,0.058,0.0132,-0.00622,1.87,-0.00768,0.0031,11,2,0,1,1,0,1
2023-12-06 11:15,43560.87,43698.58,0.3161,True,2,False,True,3.0,28.12,-0.165,0.0156,-0.0102,2.06,-0.01247,0.00329,11,2,0,0,1,0,1
2023-12-06 11:25,43698.58,43501.1,-0.4519,False,1,True,False,3.0,33.48,0.126,0.0182,-0.00629,0.67,-0.00169,0.00343,11,2,0,1,1,0,1
2023-12-06 11:30,43501.1,43641.07,0.3218,True,2,False,True,3.0,28.34,-0.017,0.0208,-0.01001,1.7,-0.00137,0.00376,11,2,0,0,1,0,1
2023-12-06 11:40,43641.07,43757.99,0.2679,True,2,False,True,2.0,28.53,0.201,0.023,-0.00574,0.86,-0.00132,0.00389,11,2,0,1,1,0,1
2023-12-06 11:50,43757.99,43875.0,0.2674,True,2,False,True,2.0,34.11,0.351,0.0235,-0.00246,0.55,0.00359,0.00393,11,2,0,1,1,0,1
2023-12-06 14:35,43995.53,44220.5,0.5113,True,1,False,True,2.5,48.19,0.177,0.0065,-0.00239,2.26,-0.0042,0.00262,14,2,0,1,1,0,1
2023-12-06 15:15,43952.48,43873.97,-0.1786,False,3,True,False,2.0,42.18,0.059,0.0072,-0.00337,1.32,-0.00151,0.00331,15,2,0,1,1,0,1
2023-12-06 15:30,43873.97,43836.02,-0.0865,False,2,True,False,3.0,34.99,0.02,0.0094,-0.00476,0.83,-0.00179,0.00332,15,2,0,1,1,0,1
2023-12-06 15:40,43836.02,43781.11,-0.1253,False,2,True,False,3.0,28.42,0.076,0.0114,-0.00504,1.16,-0.00204,0.00323,15,2,0,1,1,0,1
2023-12-06 15:50,43781.11,43950.22,0.3863,True,6,False,True,3.0,9.9,0.092,0.0131,-0.00564,1.04,-0.00148,0.00262,15,2,0,1,1,0,1
2023-12-06 18:20,43926.2,44082.2,0.3551,True,16,False,True,2.0,34.23,0.376,0.0087,-0.00113,0.43,0.00064,0.00175,18,2,0,1,1,0,1
2023-12-06 20:45,43925.27,43846.41,-0.1795,False,1,True,False,2.0,43.22,0.073,0.0044,-0.00179,1.78,-0.0018,0.0018,20,2,0,1,1,0,1
2023-12-06 20:50,43846.41,43755.79,-0.2067,False,1,True,False,3.0,30.97,-0.142,0.0055,-0.00342,1.47,-0.00436,0.00178,20,2,0,0,1,0,1
2023-12-06 20:55,43755.79,43678.15,-0.1774,False,7,True,False,3.0,23.93,-0.219,0.0074,-0.00493,2.52,-0.00486,0.00187,20,2,0,0,1,0,1
2023-12-07 07:00,43897.11,43842.57,-0.1242,False,12,True,False,2.0,34.89,0.225,0.005,-0.00128,0.95,0.0008,0.00082,7,3,0,1,1,0,1
2023-12-07 08:10,43743.99,43674.02,-0.16,False,2,True,False,3.0,30.82,-0.278,0.0044,-0.00227,2.4,-0.00319,0.00142,8,3,0,0,1,0,1
2023-12-07 08:20,43674.02,43624.53,-0.1133,False,6,True,False,3.0,19.44,-0.169,0.0067,-0.00332,1.82,-0.00359,0.00165,8,3,0,0,1,0,1
2023-12-07 08:50,43624.53,43585.6,-0.0892,False,1,True,False,3.0,12.81,0.095,0.0103,-0.00321,1.3,-0.00173,0.00203,8,3,0,0,0,0,1
2023-12-07 08:55,43585.6,43537.8,-0.1097,False,1,True,False,3.0,12.4,0.073,0.011,-0.00367,1.74,-0.00306,0.00213,8,3,0,0,0,0,1
2023-12-07 09:00,43537.8,43495.96,-0.0961,False,1,True,False,3.0,11.46,0.043,0.0117,-0.00424,2.01,-0.00329,0.00236,9,3,0,0,0,0,1
2023-12-07 09:05,43495.96,43422.09,-0.1698,False,1,True,False,3.0,11.02,0.032,0.0123,-0.00487,1.1,-0.00295,0.00247,9,3,0,0,0,0,1
2023-12-07 09:10,43422.09,43245.28,-0.4072,False,1,True,False,3.0,10.34,-0.011,0.0135,-0.00601,1.57,-0.00375,0.00209,9,3,0,0,0,0,1
2023-12-07 09:15,43245.28,43165.99,-0.1833,False,1,True,False,3.0,7.88,-0.13,0.0162,-0.00808,3.71,-0.00672,0.0026,9,3,0,0,0,0,1
2023-12-07 09:20,43165.99,43059.62,-0.2464,False,1,True,False,3.0,7.97,-0.101,0.0186,-0.0093,1.0,-0.00759,0.00279,9,3,0,0,0,0,1
2023-12-07 09:25,43059.62,43183.57,0.2879,True,2,False,True,3.0,6.96,-0.093,0.0213,-0.00966,3.22,-0.00835,0.0033,9,3,0,0,0,0,1
2023-12-07 09:35,43183.57,43350.03,0.3855,True,1,False,True,3.0,21.32,0.14,0.0226,-0.00588,0.71,0.00041,0.00346,9,3,0,0,0,0,1
2023-12-07 09:40,43350.03,43490.3,0.3236,True,1,False,True,2.0,33.14,0.329,0.0219,-0.00113,1.0,0.00674,0.00365,9,3,0,0,0,0,1
2023-12-07 10:10,43157.66,43277.13,0.2768,True,4,False,True,2.0,34.95,0.202,0.0187,-0.00384,0.44,-0.00446,0.00445,10,3,0,0,0,0,1
2023-12-07 10:55,43134.24,43280.41,0.3389,True,4,False,True,2.0,26.35,0.285,0.0106,-0.00176,0.51,-0.00222,0.00287,10,3,0,0,0,0,1
2023-12-07 12:00,43059.92,43023.86,-0.0837,False,3,True,False,2.0,45.98,-0.016,0.007,-0.00342,2.28,-0.00257,0.00202,12,3,0,0,0,0,1
2023-12-07 12:15,43023.86,43174.45,0.35,True,2,False,True,2.0,41.12,0.067,0.0089,-0.00328,1.53,-0.00084,0.00203,12,3,0,0,0,0,1
2023-12-07 17:05,43572.44,43685.44,0.2593,True,2,False,True,2.5,44.11,0.182,0.0072,-0.00273,0.59,-0.00185,0.0022,17,3,1,0,0,0,1
2023-12-07 17:30,43561.98,43400.77,-0.3701,False,1,True,False,2.0,48.52,0.153,0.0051,-0.00164,1.06,-0.00283,0.00187,17,3,1,0,0,0,1
2023-12-07 17:35,43400.77,43310.45,-0.2081,False,1,True,False,3.0,33.83,-0.236,0.007,-0.0045,3.58,-0.00571,0.0021,17,3,0,0,0,0,1
2023-12-07 17:40,43310.45,43254.68,-0.1288,False,1,True,False,3.0,22.36,-0.228,0.0093,-0.00529,3.74,-0.00652,0.00228,17,3,0,0,0,0,1
2023-12-07 17:45,43254.68,43419.02,0.3799,True,2,False,True,3.0,22.22,-0.149,0.0118,-0.00557,2.65,-0.00705,0.00228,17,3,0,0,0,0,1
2023-12-07 17:55,43419.02,43371.09,-0.1104,False,2,True,False,2.0,34.88,0.238,0.0131,-0.00113,0.79,0.00251,0.00235,17,3,0,0,0,0,1
2023-12-07 18:05,43371.09,43306.14,-0.1498,False,6,True,False,2.0,31.85,0.215,0.014,-0.0019,0.69,0.00065,0.00243,18,3,0,0,0,0,1
2023-12-07 18:35,43306.14,43231.19,-0.1731,False,7,True,False,2.0,32.9,0.208,0.0118,-0.00227,0.55,-0.00253,0.00233,18,3,0,0,0,0,1
2023-12-07 19:10,43231.19,43138.11,-0.2153,False,3,True,False,2.0,36.49,0.053,0.0058,-0.00247,1.15,-0.0018,0.00183,19,3,0,0,0,0,1
2023-12-07 19:25,43138.11,43067.26,-0.1642,False,3,True,False,3.0,30.07,-0.086,0.0074,-0.00418,1.22,-0.00215,0.00184,19,3,0,0,0,0,1
2023-12-07 19:40,43067.26,43203.58,0.3165,True,3,False,True,3.0,26.61,-0.038,0.0095,-0.00503,1.12,-0.00164,0.00203,19,3,0,0,0,0,1
2023-12-07 19:55,43203.58,43111.1,-0.2141,False,8,True,False,2.0,37.66,0.372,0.0092,-0.00113,1.52,0.00317,0.00185,19,3,0,0,0,0,1
2023-12-07 20:35,43111.1,43235.74,0.2891,True,4,False,True,2.0,47.77,0.128,0.0062,-0.00238,1.45,-0.0031,0.00171,20,3,0,0,0,0,1
